pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{1, 2, 5, 8}]","[]",4,5,"(63748,64594);(67654,68404);(146072,146679);(410827,411416);(630889,631446)"
"[{1, 2, 5, 18}]","[]",4,1,"(410884,411416)"
"[{1, 2, 7, 8}]","[]",4,4,"(145578,146438);(726245,726859);(1077215,1077777);(1872465,1872966)"
"[{1, 2, 8, 9}]","[]",4,4,"(5913,6776);(272426,273171);(273172,273915);(506072,506594)"
"[{1, 2, 8, 12}]","[]",4,93,"(2581,3124);(19616,20264);(21210,21722);(48787,49287);(65839,66606);(80052,80621);(82399,83080);(95705,96430);(96431,97098);(98678,99202);(112928,113853);(116025,116627);(161763,162365);(222820,223380);(288316,288894);(290803,291494);(397384,398007);(410827,411539);(412007,413036);(413037,413679);(413923,414702);(426565,427565);(441594,442192);(443807,444545);(457658,458540);(473298,474356);(475527,476058);(522167,522685);(537333,537880);(568609,569402);(599346,600195);(615736,616621);(645986,646532);(664299,664806);(725992,727083);(727225,728525);(743197,744412);(760602,761319);(775845,776930);(866683,867555);(895178,895757);(909608,910551);(925640,926218);(956242,957315);(959318,959826);(972056,972922);(973144,973960);(987395,987977);(987978,988903);(1019566,1020383);(1076849,1078005);(1090925,1091755);(1105459,1106189);(1121387,1122215);(1152096,1152792);(1153638,1154150);(1200052,1200566);(1268813,1269437);(1269589,1270945);(1270946,1272045);(1272046,1272814);(1272903,1274013);(1274206,1274971);(1291222,1291873);(1346003,1346637);(1391893,1392426);(1393372,1394012);(1406938,1407704);(1407962,1408499);(1473850,1474571);(1487939,1488573);(1489137,1489659);(1501862,1502374);(1529903,1530487);(1544629,1545218);(1613860,1614392);(1638911,1639475);(1639476,1640107);(1654813,1655329);(1666651,1667184);(1681104,1681872);(1695501,1696346);(1725034,1725693);(1802692,1803592);(1816934,1817486);(1929383,1929919);(2013570,2014170);(2067194,2067836);(2080405,2081214);(2167310,2168050);(2179970,2180470);(2191139,2191860);(2229956,2230566)"
"[{1, 2, 8, 17}]","[]",4,141,"(4,2086);(5527,6911);(19580,20356);(20548,21066);(21210,21722);(33064,35026);(35565,36129);(36130,36921);(37021,37530);(48481,49289);(49290,49867);(51607,52113);(63957,64651);(65865,66558);(79788,80558);(80559,81197);(81198,82254);(96328,97859);(97860,98516);(98678,99598);(114807,115318);(115801,116627);(129689,130423);(130699,131478);(146001,146528);(148930,149458);(161763,162365);(192780,193297);(194696,195257);(196620,197234);(222733,223274);(223764,224276);(255525,256030);(256031,256788);(257397,258050);(258051,258584);(271999,273238);(273239,273847);(275384,275917);(288301,288894);(289240,289833);(289834,290598);(290794,291929);(305032,306029);(306631,307732);(321708,322410);(340278,341581);(368953,369737);(383884,384698);(410683,411859);(412052,412567);(412568,413722);(413813,414387);(414577,415143);(426383,427798);(441511,442565);(442943,443922);(443923,444590);(444591,445300);(457508,458488);(458877,459609);(473268,474546);(475078,475681);(475682,476365);(490809,491840);(492888,493491);(506493,507141);(507142,507730);(521797,522873);(526023,526689);(599615,600200);(613839,614374);(630604,631237);(631238,631771);(645986,646565);(646716,647217);(647218,647867);(647994,648494);(649630,650359);(664268,664955);(678248,678925);(678926,679850);(726013,727116);(727740,728559);(743166,744384);(759086,759984);(760602,761505);(774926,775615);(775616,776801);(777041,777644);(792426,792934);(806861,807917);(808476,809107);(821776,823024);(823702,824402);(852650,853150);(853268,853834);(894178,894678);(909684,910692);(925090,926105);(926389,927303);(941148,941719);(955509,956009);(956241,957004);(957005,957635);(972034,973022);(973144,973797);(987678,988903);(989051,989910);(1020871,1021371);(1051887,1052819);(1077216,1077835);(1078209,1079126);(1090925,1091842);(1092090,1092743);(1105646,1106609);(1106610,1107220);(1108671,1109357);(1121227,1122254);(1122255,1123039);(1137246,1138218);(1138321,1138821);(1138822,1139333);(1151903,1152556);(1167811,1168651);(1169754,1170355);(1266449,1267466);(1267467,1268207);(1269589,1271146);(1273000,1273560);(1273990,1274971);(1346003,1346550);(1377266,1378112);(1410047,1410699);(1473815,1474578);(1501589,1502520);(1530555,1531100);(1666780,1667541);(1681137,1681906);(1857820,1858567);(2204255,2204755)"
"[{1, 2, 8, 18}]","[]",4,91,"(5654,6661);(6776,7276);(34076,34994);(48928,49748);(50848,51348);(65938,66606);(80765,81518);(81997,82726);(95677,96524);(96525,97239);(98733,99280);(113195,113761);(113762,114490);(129591,130242);(161763,162267);(163700,164529);(177088,177644);(255515,256440);(256441,257429);(272104,273014);(273015,273872);(288302,289038);(293004,293530);(305055,306886);(307569,308347);(321708,322379);(322988,323546);(323893,324615);(324800,325301);(339639,340245);(383342,384362);(410683,411539);(412251,412900);(412901,413813);(426111,427163);(441505,442565);(443743,444590);(457887,458540);(461338,461848);(473251,474491);(474492,475349);(475521,476377);(506227,506852);(506995,507512);(508216,509090);(522258,522832);(538028,538645);(554023,554912);(566319,567186);(580650,581407);(613956,615017);(615843,616682);(630448,631431);(646666,647757);(648013,648520);(678741,679540);(727459,728311);(742349,742969);(743769,744303);(760636,761505);(774860,775520);(775583,776600);(777041,778039);(806861,807461);(866618,867341);(894147,895174);(911912,912523);(924187,924687);(925377,925894);(926389,926980);(957193,957776);(972034,972543);(987277,987975);(987976,988673);(1121304,1121824);(1122167,1122823);(1167811,1168764);(1267182,1268101);(1268102,1268642);(1268813,1269313);(1269589,1270940);(1272905,1274013);(1274206,1274810);(1473815,1474565);(1695501,1696346);(1872341,1873015);(1901950,1902494);(2167321,2167971);(2191236,2191860);(2451767,2452419);(2571535,2572041)"
"[{1, 2, 8, 21}]","[]",4,10,"(96235,97104);(305608,306296);(410857,411539);(426111,426717);(473786,474356);(662643,663252);(726012,726859);(1052513,1053264);(1270129,1270632);(1487814,1488316)"
"[{1, 2, 8, 23}]","[]",4,8,"(34068,34768);(96289,97096);(130754,131298);(441511,442053);(822475,823024);(972072,972599);(1270762,1271335);(1474071,1474571)"
"[{1, 2, 9, 17}]","[]",4,1,"(5913,6661)"
