pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{1, 2, 6, 11}]","[]",4,4,"(242,758);(153534,154070);(876678,877228);(915887,916443)"
"[{1, 3, 6, 7}]","[]",4,42,"(56976,57551);(66874,67721);(92821,93321);(99845,100345);(112168,112773);(142286,143181);(248155,248711);(261705,262386);(294279,295170);(310229,310729);(313770,314281);(331684,332356);(362462,362999);(369802,370302);(398339,398972);(410824,411501);(423588,424398);(433003,433588);(485294,485822);(487274,488097);(509392,509892);(544681,545375);(587276,588021);(588022,588682);(589442,589951);(591070,591571);(629695,630196);(638871,639371);(685248,685831);(716201,716709);(735534,736225);(761520,762059);(771516,772089);(772229,773243);(783442,783997);(800259,800852);(809628,810168);(886643,887270);(898064,898564);(913691,914465);(914924,915473);(949044,949578)"
"[{1, 3, 6, 11}]","[]",4,99,"(5,1738);(1739,16718);(16719,25499);(25500,26869);(26970,39858);(39859,47845);(47846,56932);(56933,65145);(65146,73594);(73595,96790);(96791,98616);(98617,103388);(103389,109576);(109577,117400);(117401,121944);(121945,130318);(130319,131546);(131547,145488);(145489,164050);(164051,170054);(170055,173093);(173094,179107);(179108,192280);(192281,195374);(195375,198845);(198846,201044);(201045,203956);(203957,216203);(216204,231928);(231929,244005);(244006,253430);(253431,269529);(269530,272169);(272170,275093);(275094,275955);(276262,285153);(285349,307791);(307792,311655);(311656,323778);(323779,340347);(340348,358466);(358612,359119);(359120,367715);(367716,377891);(377892,381476);(381477,386196);(386197,429549);(429550,453291);(453814,463979);(463980,479048);(479049,487106);(487107,490504);(490505,501547);(501548,512070);(512071,516680);(516681,525665);(525666,541584);(541585,567085);(567086,568525);(568526,569337);(569338,581369);(581370,590469);(590470,596698);(596699,599022);(599023,622686);(622687,633579);(633580,634489);(634490,649935);(649936,652361);(652362,653195);(653196,663884);(663885,672796);(672797,678399);(678400,701589);(701590,707278);(707279,749981);(750198,771386);(771387,783633);(783634,784548);(784549,791395);(791396,792602);(792603,794005);(794006,798194);(798195,809358);(809359,814222);(814223,823084);(823085,826099);(826100,851635);(851636,854108);(854109,874074);(874075,900452);(900453,907422);(907423,909878);(909879,917124);(917125,924722);(924723,928580);(928581,987027);(987028,987639);(987640,989938)"
"[{1, 3, 6, 27}]","[]",4,15,"(8845,9372);(196833,197346);(208873,209403);(294152,294709);(294710,295307);(310229,310729);(313770,314281);(331684,332230);(515204,515823);(628730,629230);(629696,630196);(739258,739773);(772366,773131);(873194,873733);(973817,974403)"
"[{1, 3, 6, 64}]","[]",4,1,"(692197,692804)"
"[{1, 3, 6, 77}]","[]",4,1,"(929900,930434)"
"[{1, 3, 6, 148}]","[]",4,102,"(422,1079);(8989,9553);(12927,13516);(32708,33400);(71809,72487);(82902,83681);(107919,108519);(156795,157527);(164489,165092);(187096,187809);(189304,189805);(216193,216721);(223588,224577);(225555,226067);(236699,237242);(237243,237861);(262529,263094);(263678,264495);(272956,273473);(294499,295170);(299961,300630);(311992,312499);(312768,313585);(313685,314281);(321163,321677);(329267,329839);(333323,334149);(337153,338041);(350044,350544);(360939,361439);(361440,362141);(370972,371608);(376023,376529);(381548,382208);(382209,382762);(389088,389896);(391548,392278);(406237,406776);(407986,408824);(409875,410488);(418738,419376);(432946,433638);(436783,437283);(454352,454852);(466926,467426);(471497,472216);(485470,486049);(486265,487013);(496702,497215);(504295,504796);(532281,532948);(541867,542396);(547232,547732);(562660,563308);(574329,574848);(575021,575921);(591100,591802);(608632,609579);(647483,648012);(659778,660278);(676036,676653);(678330,678937);(708674,709179);(716806,717306);(729286,729891);(741032,741950);(743748,744248);(761353,762094);(763679,764255);(771386,772293);(783442,784131);(794561,795356);(801658,802256);(805928,806465);(827456,828032);(830387,830999);(831000,831593);(835791,836326);(842169,842680);(843074,843580);(845306,845808);(848558,849109);(849782,850410);(852354,852855);(859487,860028);(865964,866675);(880181,880682);(891116,891616);(891617,892405);(897711,898223);(899130,899672);(912439,913096);(913723,914223);(914224,914944);(919062,919759);(927145,927647);(933312,934039);(934040,934685);(969248,969767);(973441,974278);(974704,975239);(985410,985950)"
"[{1, 3, 6, 218}]","[]",4,175,"(6973,7549);(8187,8988);(8989,9642);(12927,13632);(19437,19937);(32708,33400);(62378,63158);(71802,72740);(82902,83788);(93721,94245);(100597,101136);(104417,105226);(113683,114229);(117452,118142);(126386,127290);(141991,142761);(151225,152118);(153060,153560);(155751,156280);(156810,157541);(158712,159306);(161410,161951);(164855,165363);(170384,171417);(180431,180999);(187096,187951);(195739,196242);(200954,201748);(202854,203369);(212679,213225);(216193,216899);(218810,219419);(224059,224715);(234088,234622);(236928,237852);(238210,238711);(240807,241307);(247910,248711);(263678,264495);(294570,295170);(299961,300630);(302752,303461);(309749,310650);(313503,314521);(315957,316765);(321163,321677);(329254,329839);(330645,331451);(333851,334777);(337425,338041);(343283,344039);(351702,352550);(352750,353306);(354513,355035);(356328,356981);(359395,360272);(361156,361657);(371012,371831);(375149,375702);(376020,376529);(389088,389638);(391613,392455);(397069,397682);(404162,404699);(405553,406053);(406237,406776);(407388,408289);(408290,408824);(412130,412630);(414913,415668);(415891,416440);(418022,418920);(419030,419649);(432946,433827);(436783,437283);(454352,454852);(457494,458178);(466926,467426);(467549,468100);(476674,477290);(482272,482917);(483063,483989);(486249,487013);(494542,495112);(496702,497215);(501683,502226);(504295,504796);(506864,507728);(512241,513116);(517485,518015);(520186,521253);(533188,533729);(535980,536643);(543125,543632);(553926,554864);(555158,555659);(555770,556330);(563123,563761);(569318,569939);(574329,574848);(574849,576126);(577993,578854);(587418,588201);(591001,591903);(594654,595209);(601512,602193);(608998,609627);(638796,639506);(640057,640616);(649165,649935);(657728,658699);(659384,660069);(663833,664464);(674547,675240);(676036,676653);(705077,705773);(712455,712955);(716806,717306);(718099,718903);(730147,730777);(741138,741639);(741640,742152);(743934,744823);(746442,746988);(759369,759895);(761353,762334);(763679,764591);(770456,771077);(771386,772293);(773408,773909);(774823,775362);(789623,790180);(794561,795356);(800043,800598);(802556,803117);(804245,804808);(805954,806674);(809700,810561);(827762,828392);(830387,831004);(835791,836326);(837749,838249);(839622,840442);(842169,842680);(843074,843580);(849621,850560);(862698,863229);(865964,866675);(879303,879988);(880181,880682);(886610,887454);(889684,890329);(891233,892088);(894387,895133);(900952,901452);(901453,901985);(905518,906084);(908523,909038);(910037,910617);(912525,913299);(913723,914465);(915302,915822);(925303,925803);(927134,928119);(933242,934151);(934152,934685);(941212,941798);(948873,949524);(950854,951577);(954140,954996);(955692,956353);(969248,969767);(973441,974278);(974704,975239);(984933,985906)"
"[{1, 3, 7, 11}]","[]",4,18,"(43570,44077);(99845,100345);(294658,295170);(331684,332188);(369802,370302);(378174,378738);(410827,411501);(423844,424398);(485294,485822);(587276,587830);(588013,588682);(589451,589951);(591070,591571);(772229,773243);(800259,800852);(872972,873472);(886643,887270);(914924,915473)"
"[{1, 3, 11, 27}]","[]",4,5,"(196833,197346);(294152,294657);(294658,295307);(772366,772947);(873194,873733)"
