pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{21, 1534, 1582, 2236}]","[]",4,31,"(795,1623);(79673,80502);(138772,139578);(195173,196055);(265441,265967);(269468,270015);(275029,275588);(326665,327352);(327319,328201);(331623,332489);(334378,334975);(334838,335617);(336667,337380);(353061,353882);(357655,358469);(359085,359758);(364678,365479);(370444,371194);(387956,388485);(400479,401046);(415178,415920);(417120,417683);(420940,421469);(431131,431641);(433365,433965);(457357,457985);(492441,493086);(510235,510825);(516383,516896);(528742,529370);(538043,538543)"
"[{90, 426, 1534, 1943}]","[]",4,3,"(58539,59083);(303111,303751);(381274,381840)"
"[{90, 426, 1534, 2232}]","[]",4,4,"(58539,59083);(58488,59083);(303111,303751);(381215,381840)"
"[{90, 426, 1943, 2232}]","[]",4,4,"(58539,59083);(58488,59083);(303111,303751);(381215,381840)"
"[{90, 428, 1825, 2225}]","[]",4,2,"(106955,107469);(153551,154212)"
"[{90, 1534, 1943, 2232}]","[]",4,4,"(58539,59083);(58488,59083);(303111,303751);(381215,381840)"
"[{90, 1534, 1943, 2399}]","[]",4,5,"(375106,375717);(435333,435834);(460438,461003);(478066,478668);(486640,487141)"
"[{99, 1239, 1241, 1534}]","[]",4,1,"(224314,225020)"
"[{99, 1239, 1241, 1943}]","[]",4,1,"(224314,225020)"
"[{99, 1239, 1241, 2232}]","[]",4,1,"(224314,225020)"
"[{99, 1239, 1534, 1943}]","[]",4,1,"(224314,225020)"
"[{99, 1239, 1534, 2232}]","[]",4,1,"(224314,225020)"
"[{99, 1239, 1943, 2232}]","[]",4,1,"(224314,225020)"
"[{99, 1241, 1534, 1943}]","[]",4,1,"(224314,225020)"
"[{99, 1241, 1534, 2232}]","[]",4,1,"(224314,225020)"
"[{99, 1241, 1943, 2232}]","[]",4,1,"(224314,225020)"
"[{99, 1534, 1943, 2232}]","[]",4,1,"(224314,225020)"
"[{116, 426, 479, 1534}]","[]",4,46,"(219073,219868);(222535,223091);(223599,224257);(224088,224717);(224088,224759);(226033,226810);(227185,227740);(229043,229603);(229341,229893);(229592,230092);(229341,229893);(229592,230219);(229592,230219);(231572,232072);(236619,237564);(237378,238003);(252821,253516);(262012,262897);(270881,271390);(274777,275398);(277863,278545);(277863,278545);(280149,280918);(283952,284453);(284265,284785);(292469,293350);(294209,294709);(297816,298317);(298055,298686);(298009,298686);(302792,303292);(305503,306239);(310099,310669);(319560,320362);(330568,331153);(333308,333853);(341306,341884);(345207,346029);(347044,347558);(347365,348132);(352662,353324);(355903,356818);(370188,370727);(382749,383317);(461560,462193);(481323,481912)"
"[{116, 426, 479, 1943}]","[]",4,2,"(274777,275398);(461693,462193)"
"[{116, 426, 1534, 1943}]","[]",4,2,"(274777,275398);(461693,462193)"
"[{116, 479, 1534, 1943}]","[]",4,2,"(274777,275398);(461693,462193)"
"[{181, 1825, 1909, 2204}]","[]",4,9,"(80359,81234);(89414,89918);(106603,107580);(143485,144116);(145402,145928);(148837,149344);(169669,170171);(196081,196582);(197149,197764)"
"[{225, 720, 754, 1012}]","[]",4,1,"(325331,325896)"
"[{225, 751, 1215, 2339}]","[]",4,1,"(470485,471010)"
"[{225, 1215, 2123, 2150}]","[]",4,3,"(182768,183348);(183014,183655);(218165,218762)"
"[{231, 479, 1534, 1943}]","[]",4,15,"(266473,267291);(268600,269568);(270435,271084);(278629,279409);(294274,294794);(309129,309767);(319256,319897);(320395,321135);(324481,324989);(348175,348733);(361784,362413);(370692,371192);(406694,407214);(520454,521366);(522316,522857)"
"[{324, 759, 951, 1394}]","[]",4,10,"(50534,51352);(88506,89163);(123199,124107);(131685,132337);(137733,138458);(174697,175463);(191976,192801);(314728,315265);(317953,318694);(342929,343573)"
"[{324, 759, 951, 1989}]","[]",4,10,"(50534,51352);(88506,89163);(123199,124107);(131685,132337);(137733,138458);(174697,175463);(191976,192801);(314728,315265);(317953,318694);(342929,343573)"
"[{324, 759, 1394, 1989}]","[]",4,12,"(50534,51352);(88506,89163);(123199,124107);(131685,132337);(137733,138458);(139037,139728);(174697,175463);(191976,192801);(314678,315265);(317953,318694);(342929,343573);(458992,459552)"
"[{324, 951, 1394, 1989}]","[]",4,36,"(39100,40039);(50529,51352);(70698,71474);(83294,83823);(88412,89163);(101794,102528);(106610,107376);(123198,124107);(129056,129620);(131685,132337);(137732,138458);(153402,153913);(154528,155346);(161358,161985);(162404,162956);(166570,167127);(168674,169174);(170277,171008);(174242,175463);(182480,183565);(191976,192801);(195020,195651);(213352,214392);(234156,234676);(239826,240419);(284497,285323);(286612,287147);(298190,299028);(299966,300468);(300142,300820);(306067,306668);(314728,315265);(317953,318694);(342927,343573);(397749,398317);(401585,402156)"
"[{426, 479, 1534, 1582}]","[]",4,56,"(45452,46134);(70438,71232);(76028,76597);(76028,76943);(77444,78278);(80598,81098);(80598,81098);(81419,82123);(89586,90114);(92595,93467);(93453,93954);(93660,94212);(96134,96638);(96913,97493);(103259,103979);(112377,113187);(123861,124375);(129371,130105);(131258,132157);(136168,137056);(142781,143363);(145631,146246);(146503,147111);(151364,152198);(152053,152726);(164098,164624);(164516,165249);(171872,172466);(172186,172725);(172186,172725);(175968,176770);(178506,179262);(187202,187747);(188349,189078);(219366,220002);(221404,221905);(226091,226735);(270881,271390);(283952,284713);(287424,287967);(302792,303292);(305651,306239);(325006,325656);(330569,331153);(332927,333427);(332927,333427);(333262,333853);(341392,342010);(345484,346029);(347044,347803);(348408,349003);(370189,370727);(381909,382420);(382751,383317);(382751,383317);(461571,462072)"
"[{426, 479, 1534, 1943}]","[]",4,8,"(262018,262897);(274777,275398);(280226,280918);(292165,292667);(319464,320023);(440974,441474);(461693,462193);(492232,492767)"
"[{426, 1534, 1943, 2232}]","[]",4,4,"(58539,59083);(58488,59083);(303111,303751);(381215,381840)"
"[{489, 1193, 2123, 2254}]","[]",4,1,"(202664,203168)"
"[{490, 547, 1235, 1605}]","[]",4,10,"(6572,7072);(8187,8687);(8387,9002);(23650,24162);(374468,375000);(466395,467153);(486015,486516);(519453,519962);(523764,524324);(529344,529849)"
"[{613, 680, 1534, 1943}]","[]",4,1,"(84179,84679)"
"[{636, 781, 1024, 1245}]","[]",4,1,"(235762,236279)"
"[{720, 1079, 1573, 2356}]","[]",4,1,"(8483,9073)"
"[{720, 1534, 1603, 1943}]","[]",4,9,"(33874,34462);(58539,59083);(88036,88581);(88581,89170);(106759,107367);(112649,113210);(118547,119156);(236578,237117);(381215,381903)"
"[{720, 1534, 1603, 2232}]","[]",4,8,"(33874,34462);(58539,59083);(58488,59083);(88036,88581);(88581,89170);(106759,107367);(112649,113210);(118547,119156)"
"[{720, 1534, 1943, 2232}]","[]",4,8,"(33874,34462);(58539,59083);(58488,59083);(88036,88581);(88581,89170);(106759,107367);(112649,113210);(118547,119156)"
"[{720, 1603, 1943, 2232}]","[]",4,8,"(33874,34462);(58539,59083);(58488,59083);(88036,88581);(88581,89170);(106759,107367);(112649,113210);(118547,119156)"
"[{759, 951, 1394, 1989}]","[]",4,10,"(50534,51352);(88506,89163);(123199,124107);(131685,132337);(137733,138458);(174697,175463);(191976,192801);(314728,315265);(317953,318694);(342929,343573)"
