pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{349, 1142, 2363}]","[]",3,2,"(25133,25169);(501992,502046)"
"[{200, 2352}]","[]",2,1,"(372123,372199)"
"[{225, 1215}]","[]",2,60,"(92122,92333);(136852,136931);(156617,156885);(166760,167161);(182498,183387);(192836,192981);(194819,194821);(194828,194829);(200172,200283);(200372,200563);(203082,203214);(203218,203240);(203262,203347);(205594,205703);(209564,209578);(209583,209960);(217956,218351);(226527,226531);(226591,226780);(232547,232734);(237671,237682);(237706,237741);(241944,241957);(254734,254805);(254962,254968);(254996,255310);(265892,266260);(269995,270449);(271657,271957);(271988,272048);(275581,275663);(275724,275757);(282267,282454);(282462,282497);(282516,282525);(282668,282677);(299571,299601);(306604,306608);(306646,306702);(306739,306752);(306779,307090);(310416,310425);(321629,321652);(327217,327239);(327396,327460);(329882,329914);(351544,351626);(378537,378549);(378602,378658);(378660,378715);(378722,378786);(378800,378894);(378905,378970);(398783,398792);(441379,441381);(444215,444234);(446828,446828);(446943,446983);(447147,447153);(449808,450270)"
"[{225, 1336}]","[]",2,8,"(180111,180432);(212601,212677);(236297,236298);(236428,236470);(268488,268519);(308544,308611);(512170,512190);(512233,512251)"
"[{349, 1142}]","[]",2,2,"(25133,25169);(501992,502046)"
"[{349, 2363}]","[]",2,2,"(25133,25169);(501992,502046)"
"[{1142, 2363}]","[]",2,2,"(25133,25169);(501992,502046)"
"[{1394, 1989}]","[]",2,11,"(48784,48866);(70689,70809);(79646,79720);(110950,111258);(131217,131322);(131357,131511);(142610,142788);(162905,163035);(174531,174702);(284812,284905);(518685,518858)"
"[{1534, 1582}]","[]",2,1,"(126822,126958)"
"[{1534, 1943}]","[]",2,101,"(224217,224272);(224287,224322);(226944,226969);(229325,229478);(229500,229544);(229615,229615);(229628,229637);(232533,232534);(232592,232680);(252738,253067);(262256,262400);(262406,262406);(265145,265234);(265251,265264);(265519,265535);(265578,265603);(265631,265640);(265643,265645);(268442,268447);(268537,268801);(280317,280328);(282195,282202);(282281,282294);(285556,285562);(292015,292015);(292035,292049);(294350,294352);(302800,302828);(306482,306486);(310169,310174);(311022,311074);(320356,320362);(323217,323485);(324395,324526);(324528,324542);(324601,324601);(324620,324636);(333287,333296);(333317,333456);(333525,333533);(334892,334967);(335030,335056);(335070,335071);(335074,335091);(343898,343978);(343982,343995);(344003,344114);(344733,344739);(344741,345009);(345043,345057);(345086,345090);(357089,357100);(362713,362764);(362889,362898);(366627,366628);(379803,379824);(379843,379844);(379860,379861);(381230,381562);(381573,381579);(384206,384235);(384265,384428);(384450,384525);(384533,384533);(386946,386947);(386952,386952);(387664,387746);(387764,387857);(396598,396600);(396602,396828);(396836,396838);(396849,396873);(411282,411287);(411951,411966);(421901,422184);(425176,425327);(425373,425373);(425375,425381);(425387,425537);(425550,425592);(425597,425626);(425641,425651);(438914,438923);(438973,439022);(439041,439307);(454009,454108);(459444,459934);(459938,459944);(461200,461206);(461208,461625);(475057,475061);(475099,475220);(475254,475256);(482067,482097);(496152,496162);(505065,505205);(522141,522145);(522254,522488);(522493,522507);(522509,522509);(525435,525499)"
"[{1816, 1834}]","[]",2,7,"(56548,56558);(56585,56591);(56627,56661);(56664,56667);(69187,69479);(85043,85291);(175950,175959)"
