pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{19, 40, 49, 15833}]","[]",4,2,"(76440,76981);(77701,78370)"
"[{33, 39, 40, 42}]","[]",4,12,"(1919,2426);(2682,3333);(5565,6357);(17367,17940);(19184,19692);(20939,21696);(23236,24338);(27534,28145);(33513,34034);(35250,35876);(36419,36936);(73995,74569)"
"[{33, 39, 40, 49}]","[]",4,39,"(908,1494);(1168,1762);(1919,2429);(2182,2682);(2682,3194);(5565,6357);(11075,11663);(11351,11851);(14950,15723);(17400,17940);(19038,19727);(20984,21610);(22414,22975);(22843,23382);(23163,24074);(23778,24712);(25604,26128);(27456,28406);(29884,30778);(33096,33962);(35221,35935);(36419,37085);(37802,38558);(42126,42677);(43878,44401);(55277,55832);(58123,58999);(59374,59965);(62355,63110);(62762,63271);(62889,63675);(66119,66752);(69464,69964);(72664,73334);(74073,74768);(77211,77767);(79584,80553);(80206,81105);(80975,81790)"
"[{33, 39, 40, 16011}]","[]",4,1,"(79944,80688)"
"[{33, 39, 42, 49}]","[]",4,7,"(1919,2682);(2682,3194);(20916,21610);(23236,24074);(23778,24338);(24074,24712);(74096,74722)"
"[{33, 39, 49, 16011}]","[]",4,1,"(79944,80553)"
"[{33, 40, 42, 49}]","[]",4,26,"(1324,3957);(4672,7367);(8179,8679);(8413,11119);(11066,14224);(14950,16507);(16450,18402);(18850,22213);(22540,25305);(25259,26377);(26260,27052);(26666,28919);(28797,29540);(29230,30044);(29824,30324);(29884,32237);(33096,34452);(34552,37085);(36859,37847);(72767,75375);(76229,76904);(76519,77063);(76804,78780);(79459,82659);(84318,86207);(86673,88093)"
"[{33, 40, 42, 90}]","[]",4,1,"(73847,74394)"
"[{33, 40, 42, 311}]","[]",4,2,"(9584,10084);(9614,10122)"
"[{33, 40, 42, 1147}]","[]",4,1,"(20840,21564)"
"[{33, 40, 42, 8979}]","[]",4,3,"(13052,13558);(13278,13879);(81336,82054)"
"[{33, 40, 42, 13042}]","[]",4,2,"(72767,73332);(73218,74885)"
"[{33, 40, 42, 15833}]","[]",4,1,"(76876,78370)"
"[{33, 40, 42, 16011}]","[]",4,1,"(79944,82211)"
"[{33, 40, 42, 16012}]","[]",4,1,"(80283,81774)"
"[{33, 40, 42, 16218}]","[]",4,3,"(83756,84486);(84292,85634);(85389,85892)"
"[{33, 40, 42, 16431}]","[]",4,1,"(87449,88093)"
"[{33, 40, 42, 16432}]","[]",4,1,"(87449,88093)"
"[{33, 40, 49, 90}]","[]",4,1,"(73847,74394)"
"[{33, 40, 49, 390}]","[]",4,1,"(35040,35540)"
"[{33, 40, 49, 1147}]","[]",4,1,"(21053,21564)"
"[{33, 40, 49, 8979}]","[]",4,2,"(13424,14068);(80806,81580)"
"[{33, 40, 49, 12936}]","[]",4,2,"(58574,59087);(58946,59881)"
"[{33, 40, 49, 13042}]","[]",4,1,"(72764,74885)"
"[{33, 40, 49, 15833}]","[]",4,1,"(76440,78370)"
"[{33, 40, 49, 16011}]","[]",4,1,"(79944,82270)"
"[{33, 40, 49, 16012}]","[]",4,1,"(79946,81774)"
"[{33, 40, 49, 16218}]","[]",4,1,"(83756,85950)"
"[{33, 40, 49, 16431}]","[]",4,1,"(87449,88093)"
"[{33, 40, 49, 16432}]","[]",4,1,"(87449,88093)"
"[{33, 40, 176, 13042}]","[]",4,1,"(73341,73895)"
"[{33, 40, 8979, 16011}]","[]",4,1,"(80806,81450)"
"[{33, 40, 16011, 16012}]","[]",4,1,"(79946,82001)"
"[{33, 40, 16431, 16432}]","[]",4,1,"(87449,88093)"
"[{33, 42, 49, 90}]","[]",4,1,"(73847,74394)"
"[{33, 42, 49, 1147}]","[]",4,1,"(21053,21564)"
"[{33, 42, 49, 8979}]","[]",4,1,"(81336,81883)"
"[{33, 42, 49, 13042}]","[]",4,2,"(72767,73273);(73218,74926)"
"[{33, 42, 49, 15833}]","[]",4,1,"(76937,78370)"
"[{33, 42, 49, 16011}]","[]",4,1,"(80154,82231)"
"[{33, 42, 49, 16012}]","[]",4,1,"(80256,81834)"
"[{33, 42, 49, 16218}]","[]",4,2,"(84092,85743);(85389,85892)"
"[{33, 42, 49, 16431}]","[]",4,1,"(87449,88093)"
"[{33, 42, 49, 16432}]","[]",4,1,"(87449,88093)"
"[{33, 42, 16011, 16012}]","[]",4,1,"(80283,82001)"
"[{33, 42, 16431, 16432}]","[]",4,1,"(87449,88142)"
"[{33, 49, 8979, 16011}]","[]",4,1,"(80806,81487)"
"[{33, 49, 16011, 16012}]","[]",4,1,"(79946,82001)"
"[{33, 49, 16431, 16432}]","[]",4,1,"(87449,88132)"
"[{37, 39, 40, 42}]","[]",4,2,"(36136,36862);(82168,82669)"
