pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{40, 42, 49, 13042}]","[]",4,6,"(73314,73563);(73574,73575);(73578,73580);(73586,73607);(73676,74348);(74385,74393)"
"[{40, 42, 49, 15833}]","[]",4,1,"(76981,78028)"
"[{40, 42, 49, 16011}]","[]",4,1,"(80394,81727)"
"[{40, 42, 49, 16218}]","[]",4,3,"(84218,84249);(84261,85300);(85304,85304)"
"[{40, 42, 16011, 16012}]","[]",4,9,"(80484,80500);(80508,80608);(80615,80728);(80731,80734);(80740,80744);(80843,80843);(81266,81498);(81501,81505);(81509,81510)"
"[{40, 42, 16431, 16432}]","[]",4,1,"(87399,87670)"
"[{40, 49, 16011, 16012}]","[]",4,2,"(79745,81524);(81535,81558)"
"[{40, 49, 16431, 16432}]","[]",4,1,"(87230,87783)"
"[{42, 49, 16431, 16432}]","[]",4,1,"(87391,87540)"
"[{33, 40, 42}]","[]",3,7,"(9816,9826);(17239,17262);(17302,17308);(17349,17360);(17366,17366);(17384,17389);(17415,17496)"
"[{33, 40, 49}]","[]",3,45,"(5928,5949);(5952,5955);(5965,6010);(6023,6031);(6033,6033);(6080,6151);(6166,6478);(9646,9654);(9695,9702);(9713,9775);(9796,9816);(9865,9909);(17169,17183);(17194,17195);(17213,17604);(20882,20883);(20885,20902);(20930,20930);(20940,20953);(20971,21035);(21042,21060);(21064,21080);(21082,21134);(21141,21141);(24062,24064);(24069,24095);(24155,24161);(24174,24491);(24494,24514);(58510,58519);(58531,58548);(59237,59240);(59273,59285);(59301,59316);(59465,59466);(73968,73971);(74026,74187);(74190,74229);(77761,77767);(77785,77791);(77801,78048);(80702,80730);(80764,80765);(80817,81148);(81164,81169)"
"[{33, 40, 15833}]","[]",3,4,"(77181,77184);(77203,77204);(77266,77313);(77338,77387)"
"[{33, 40, 16011}]","[]",3,5,"(80623,80631);(80649,80662);(80672,80688);(80691,80947);(80950,80961)"
"[{33, 49, 13042}]","[]",3,1,"(73486,73496)"
"[{33, 49, 16011}]","[]",3,6,"(79861,79959);(80704,80743);(80762,80795);(80797,80812);(80817,80926);(80950,80975)"
"[{33, 16431, 16432}]","[]",3,1,"(87371,87716)"
"[{39, 40, 42}]","[]",3,8,"(13307,13319);(13322,13335);(13337,13337);(13396,13495);(27654,27661);(27692,27740);(74005,74013);(74022,74091)"
"[{39, 40, 49}]","[]",3,75,"(13404,13405);(13424,13440);(13481,13493);(18147,18280);(18303,18353);(18355,18360);(21754,21810);(24097,24138);(24174,24182);(25136,25144);(25148,25156);(25453,25466);(25471,25478);(25486,25722);(25768,25778);(25782,25795);(25799,25801);(27645,27753);(28458,28783);(28785,28786);(32220,32363);(33148,33378);(33381,33402);(33406,33407);(33411,33422);(33424,33430);(33435,33436);(33438,33440);(33445,33449);(33464,33518);(33543,33548);(36049,36519);(36529,36547);(38600,38609);(38688,38696);(38761,38837);(38843,38884);(39728,39871);(39979,39979);(39992,40004);(40006,40138);(40177,40187);(40817,40987);(43842,43911);(48291,48338);(55481,55520);(56145,56148);(56153,56374);(56376,56383);(56390,56399);(56401,56418);(59299,59397);(63125,63125);(63145,63238);(63977,63984);(63989,64161);(64178,64359);(64382,64388);(64668,64678);(65847,65849);(65855,65861);(66057,66074);(66082,66086);(66090,66157);(67598,68021);(70627,70628);(70748,70840);(70856,70864);(71572,71802);(74050,74120);(74939,74952);(74976,75032);(75038,75047);(75145,75151);(85879,86234)"
