pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{1, 3, 6}]","[]",3,3,"(313026,313526);(397268,397945);(772419,773006)"
"[{1, 6, 11}]","[]",3,470,"(375,1305);(2452,3311);(5455,5955);(9941,10804);(11777,12285);(12549,14355);(14433,14934);(15142,15662);(17598,18550);(18923,19591);(19671,20298);(20332,20998);(24310,25187);(25689,26542);(29778,30847);(32558,33501);(33746,34258);(35927,37805);(39053,39858);(41605,42165);(42287,43471);(45065,45885);(46065,46782);(48452,49755);(50247,51528);(52904,54312);(54946,55578);(56869,57613);(59940,60818);(62090,63297);(63905,64831);(65113,65646);(65990,66528);(66809,67428);(68926,70315);(71377,72470);(74042,75553);(76213,76798);(78711,79212);(80201,81636);(81847,82403);(82804,83484);(89139,90285);(90364,91080);(91145,91746);(91799,93111);(93208,94168);(95420,96151);(97137,98149);(99807,101378);(102330,102887);(103927,104559);(104620,105276);(105817,106561);(107800,108550);(112722,114859);(116041,117072);(117208,118320);(122343,123632);(124594,125137);(125215,126215);(127174,127875);(130632,131320);(133057,134404);(135468,136000);(137935,139102);(140295,142794);(142877,143841);(144423,144958);(145668,146842);(147965,148484);(151217,152023);(152619,153302);(156667,157431);(159908,161261);(164008,164615);(165706,166515);(169985,170547);(171290,171845);(171962,172765);(173115,173865);(174881,175451);(176609,177409);(177623,178844);(180447,181046);(183048,183945);(184751,185271);(185608,186109);(186949,187460);(188017,188523);(188852,189692);(190838,191365);(192922,193433);(196509,197411);(197480,198250);(198953,199812);(200992,201789);(202950,204325);(204772,206477);(207887,208543);(209090,209598);(211132,213683);(213729,214233);(215281,216085);(217220,217806);(218797,219362);(219742,220262);(221101,222003);(222401,222901);(223635,224637);(224683,227155);(229117,229617);(230484,230984);(236336,237319);(239121,240026);(240233,240957);(241067,241773);(244005,244637);(248144,248872);(251046,251912);(252501,253059);(254103,255375);(256250,257167);(258336,259395);(260494,260994);(263628,265366);(266736,267636);(268315,269034);(270074,270673);(273226,273790);(277082,277603);(279636,280136);(281304,282167);(283492,283993);(284113,284977);(286531,288111);(288586,290103);(290516,291181);(293688,295186);(295260,296159);(296578,297196);(297746,298585);(298871,300319);(301780,302316);(302861,303560);(303898,305305);(305758,306441);(306775,307335);(307924,308475);(308851,309808);(310156,311243);(311746,313637);(315914,317961);(318028,318561);(318676,319419);(320214,321060);(321237,323396);(326738,328510);(328950,329943);(332952,333791);(333921,334645);(335790,336739);(337379,339362);(345105,345673);(346283,347222);(349030,350794);(351067,351589);(351641,353762);(354584,355350);(355369,356228);(356482,356982);(360051,360963);(361607,362115);(362511,363021);(363092,363704);(366065,367063);(368834,370245);(370962,371964);(372245,372782);(372948,373696);(374814,375837);(376693,377361);(378298,379022);(379571,381043);(381889,384785);(388263,388780);(389139,389889);(390380,390882);(390998,391668);(393183,393925);(394005,394505);(396900,398132);(399471,400495);(401099,401892);(403404,403983);(404228,406053);(409485,411924);(414885,416343);(416731,417518);(418680,419649);(420530,424345);(425561,426179);(426696,429366);(429642,430778);(431611,433804);(434181,435173);(441961,442685);(442949,443529);(444245,446630);(447324,447824);(450565,451065);(451384,452010);(454703,455818);(456800,457974);(458960,460172);(461570,462368);(464069,464972);(465329,466082);(466302,466805);(467163,468323);(471635,472532);(475793,476299);(477447,477947);(479176,480443);(480729,482724);(482831,484084);(484508,485012);(485172,486293);(488270,489670);(490390,492761);(494298,495299);(495362,496577);(497212,498164);(499798,500326);(500392,501050);(502866,503674);(504189,504885);(505816,507605);(507775,508444);(509095,510062);(510144,511744);(512308,512855);(515531,516337);(516546,517280);(517693,518514);(518854,521083);(522046,523100);(523753,524350);(525705,526510);(530353,531248);(532472,532986);(533025,533630);(534142,535044);(535814,536809);(537694,539735);(541616,542580);(543125,544255);(544795,545648);(547403,548206);(549323,550333);(551664,552588);(553012,553950);(553983,555611);(555985,556485);(559225,560087);(562048,562696);(562944,563761);(563902,565340);(567056,567657);(568538,569975);(570625,571346);(571397,572601);(573281,574033);(574905,575844);(576205,576826);(579752,580440);(582174,582674);(583751,584484);(585123,586259);(586429,586929);(587231,588031);(588095,588602);(590469,590969);(591070,591645);(598893,599427);(601001,601577);(605658,606564);(608399,609402);(613677,614326);(617633,619228);(620717,621651);(622980,623777);(624480,624998);(625246,626021);(628375,628875);(629747,630644);(631373,632614);(635637,636573);(636648,637506);(638255,638755);(639960,642913);(644055,645162);(645550,646050);(646711,647490);(648214,648760);(650054,650597);(654064,654985);(655450,655979);(657630,658270);(658408,659217);(659354,661111);(663983,664586);(664739,665349);(666349,667181);(667371,668751);(668903,670463);(670728,672060);(673099,673952);(674300,674884);(675142,675663);(675809,676309);(676780,678031);(678391,679357);(679418,680087);(682332,683095);(683517,684017);(684736,685512);(685579,686570);(687104,688562);(693133,694836);(695568,696904);(697197,699314);(700724,701634);(702028,703004);(708407,709331);(709405,710138);(711255,712055);(713744,714244);(716306,716806);(716892,718597);(719601,720102);(720792,721492);(723978,725488);(725623,726656);(729215,729942);(734438,735302);(735711,736926);(737054,737812);(738225,738738);(739437,740343);(740940,742061);(744630,745542);(747702,748202);(748873,749430);(750554,752083);(753419,753919);(755099,755683);(756166,756966);(757300,757889);(757994,759244);(759662,760162);(761390,762913);(763891,764440);(765314,765815);(766051,766571);(770510,771077);(772189,774222);(774554,775294);(775938,776496);(777757,778555);(781649,782214);(782593,783093);(783579,784142);(785312,786859);(788237,790450);(791654,792154);(792551,793059);(794440,795893);(797273,797901);(798129,798872);(799563,800916);(801623,802586);(805371,807056);(807534,808581);(810151,811115);(811304,811890);(815492,816110);(816146,818331);(818820,820222);(820940,821443);(824029,824795);(825719,826256);(827219,828486);(830348,831275);(831838,832777);(833064,834080);(834196,835090);(835402,836326);(836575,837258);(841643,842168);(842990,843580);(845231,846119);(847686,848224);(848510,851200);(852785,853285);(853355,855227);(857449,858781);(859381,859899);(860645,861253);(861583,862083);(862698,863609);(865876,867034);(868135,868985);(871374,872785);(872972,873960);(875415,876781);(876805,877777);(879035,879920);(882310,883335);(886852,887529);(891187,892849);(893007,893888);(894101,894758);(895213,895855);(896063,897278);(898348,899279);(901045,902163);(902596,903777);(904586,905150);(906178,906853);(907416,909554);(910154,910654);(911143,911643);(914195,916274);(918998,919939);(919960,920972);(921644,922632);(925738,926624);(926663,927240);(927479,928511);(929153,929657);(929764,931064);(933326,933827);(934379,934880);(936026,937214);(937952,938894);(940036,940540);(940838,941491);(943707,945287);(945545,947528);(947572,949428);(949542,950042);(952482,953573);(953985,954759);(954848,955356);(956833,957582);(959552,960239);(960258,961861);(962302,963004);(965198,966285);(967710,968233);(968795,969863);(970923,971647);(972077,972966);(973920,974904);(977340,978109);(980688,981352);(981941,982837);(983650,984573);(985024,985852)"
"[{3, 6, 11}]","[]",3,1,"(11,989624)"
"[{6, 11, 148}]","[]",3,1,"(361574,362141)"
"[{6, 11, 218}]","[]",3,6,"(148075,148587);(295334,295834);(361406,361907);(374948,375629);(444548,445048);(965708,966244)"
"[{6, 148, 218}]","[]",3,3,"(257255,257755);(361574,362141);(510304,510813)"
"[{1, 3}]","[]",2,455,"(143,775);(815,1317);(2083,3311);(3985,4508);(6955,7591);(8037,8893);(12807,13713);(15998,16600);(16718,17218);(17766,18895);(18936,20772);(22522,23029);(23420,23926);(25614,26254);(27432,29174);(29778,30927);(32244,33486);(33901,34428);(34738,35292);(36459,37433);(39094,39796);(40812,41312);(41647,42287);(43556,44078);(45603,46573);(48452,49000);(50227,51208);(52314,53159);(53476,54313);(54809,55678);(56815,57476);(62313,63223);(65925,66425);(66801,67735);(69107,69774);(70069,71005);(71802,72427);(72501,73371);(75395,75951);(81700,82384);(82951,83681);(83886,85113);(87177,88552);(90361,91066);(92599,93261);(94085,94597);(95447,96384);(97469,98406);(98664,99561);(100081,100596);(101683,102184);(102446,103066);(103735,105245);(107885,108765);(110116,110961);(111981,112642);(113119,114117);(114209,114720);(116102,116908);(117684,118698);(119633,120225);(122924,124352);(124968,125758);(126431,127226);(130623,131411);(133407,134153);(135007,136450);(137999,138938);(139216,141386);(141882,143056);(144224,145043);(145782,146284);(147354,147861);(149074,150029);(151225,151752);(152688,154033);(158553,161064);(164509,165575);(165816,166645);(167307,168698);(168768,169477);(170458,171852);(171934,173132);(175051,175582);(177526,178153);(179934,181020);(181286,182010);(182112,182639);(186139,187183);(187309,187809);(188017,189228);(189370,190028);(190611,191276);(192098,192768);(196229,197200);(199014,199895);(201454,202336);(202711,203633);(205311,206048);(206972,207539);(207968,209225);(211295,212134);(212514,213394);(213400,214030);(216156,216907);(218715,219362);(220567,222279);(222542,223183);(223383,224612);(225313,226608);(228590,229474);(231052,231598);(233940,234706);(236466,237637);(237929,238452);(238554,239196);(240184,241143);(241227,241743);(242793,243583);(247757,248476);(250434,251599);(254544,255542);(256444,257424);(259698,260957);(262889,263399);(263624,264683);(270030,270592);(270949,271632);(272831,273808);(277767,279044);(279636,280717);(281941,282486);(283880,284996);(286086,286595);(287477,288006);(290551,291716);(294135,295183);(296529,297050);(298979,299677);(300964,302666);(302719,304296);(304596,305196);(307930,308440);(308679,309425);(310229,310729);(310771,311435);(311902,313968);(314454,314959);(318297,319171);(319900,321051);(321125,321739);(322436,323351);(326855,328520);(329356,329857);(333930,334809);(335515,336346);(337082,337805);(337920,339061);(339451,340182);(344818,345690);(349150,350686);(351695,352202);(352620,353137);(357140,357887);(359563,360638);(360963,363008);(364243,364951);(366848,367425);(367844,368540);(368784,370047);(373174,374152);(375117,375702);(379313,379813);(381463,382034);(384615,385404);(389246,389957);(390815,391623);(393375,393916);(394955,395462);(396870,398160);(398267,399579);(400495,401487);(401934,402448);(403446,404009);(404245,405090);(406500,407031);(407929,408686);(409752,410643);(410977,411667);(412356,413123);(413828,414341);(414964,416257);(416488,417476);(418121,419459);(421650,422799);(423009,423965);(425394,426181);(427825,428640);(429844,430558);(431556,432721);(432877,434031);(434234,435079);(436231,436783);(439275,440084);(440107,440607);(441659,442452);(442896,443470);(447128,447826);(449006,449770);(450682,451194);(455252,455900);(456101,456711);(457478,458219);(458999,459884);(460112,461162);(462247,462747);(463778,464369);(465272,465999);(467383,468323);(468853,469355);(470676,471190);(471564,472541);(480588,481614);(482323,482917);(483049,483633);(483922,484427);(484905,486159);(487152,487804);(491336,491842);(494153,494810);(495062,496179);(496496,497124);(501665,502295);(502393,503226);(503484,503984);(504204,505072);(506232,506816);(507771,508356);(509095,510960);(512180,513267);(514789,515703);(518074,518671);(518798,519681);(519851,521067);(521477,522153);(522486,523548);(524069,524580);(524659,525404);(525730,526277);(527086,527712);(527733,528544);(532708,533208);(534537,535615);(535949,536921);(539555,540209);(540352,541330);(542606,543174);(544153,546724);(547346,547846);(549730,550230);(551247,552286);(552666,553198);(553450,556437);(556678,557192);(558396,558944);(559385,560196);(562780,563650);(566076,566642);(570575,571701);(575333,576112);(576224,577020);(579509,580183);(582702,583278);(587054,588421);(589002,589928);(591220,591720);(592560,593093);(593797,594675);(594736,595924);(597745,598257);(599755,600685);(602814,603316);(605898,606641);(608790,609417);(610440,610940);(615679,616180);(617818,618318);(618806,619398);(620748,621248);(621709,622284);(622817,623665);(624448,624986);(625729,626647);(628046,628547);(630511,631014);(631411,632314);(640109,641567);(644295,644910);(649012,649797);(653507,654806);(656987,658375);(658425,660406);(660864,661759);(664055,664562);(664761,665405);(666672,667210);(668043,669016);(670092,670952);(671283,671828);(674756,675286);(676390,677954);(678279,678798);(680641,681439);(681541,683958);(685185,686142);(687371,687871);(688434,689262);(691706,692985);(693984,694484);(695544,696485);(697287,698127);(698802,699302);(699450,700597);(700724,701459);(705699,706199);(706260,706893);(708407,709303);(712277,712881);(714927,715927);(716669,718817);(719624,720824);(722480,723066);(723292,723823);(725668,726656);(726887,727388);(728223,728736);(729172,729954);(730101,730603);(731962,733273);(734291,735205);(735508,736401);(737208,737881);(739424,742131);(744976,745476);(747931,748473);(751063,751696);(753441,753941);(754019,754902);(755176,755683);(755941,756798);(760782,762914);(763482,765840);(766112,766995);(768157,768658);(769007,769619);(769864,770382);(772265,773243);(773278,774124);(776413,776993);(781566,782266);(782772,783312);(783425,784142);(788968,789544);(789945,790480);(791636,792163);(792416,793824);(794595,796225);(796985,797804);(798736,799527);(799756,800916);(801719,803307);(803448,803948);(804726,805271);(807449,808716);(810453,811065);(817428,818554);(819008,820366);(821941,822441);(824024,824565);(825376,826232);(827110,828408);(830112,831080);(831795,832752);(835643,836668);(837395,837895);(838674,839622);(841005,842592);(845306,846077);(848483,849782);(849973,851259);(852915,853675);(854002,855035);(858966,859742);(860190,861183);(861295,862147);(862638,863500);(867428,868917);(871766,872266);(873119,873620);(875173,876956);(877767,878267);(880982,881920);(884048,884976);(885909,886442);(886584,887620);(888854,889834);(891205,891926);(892344,893694);(894386,895673);(896105,896606);(896699,897445);(898515,899645);(901127,902369);(902852,903490);(903901,905321);(907548,908326);(909864,910690);(910763,911711);(912475,913096);(914678,915795);(917627,918174);(918314,919124);(919214,920623);(922430,923295);(923780,924310);(925556,926604);(926843,927652);(929487,930239);(930308,931088);(932091,933037);(933391,934009);(935014,935652);(935934,936734);(937532,938938);(941510,942026);(945617,946129);(946246,947402);(947855,948813);(948940,949914);(951835,952420);(952521,953528);(955200,956303);(960333,961211);(963287,964245);(964303,965209);(968662,969776);(970135,970767);(970950,971628);(971942,972609);(973028,975451);(977870,978538);(979147,980308);(980730,981352);(983144,983686);(988507,989430)"
"[{1, 6}]","[]",2,1,"(13,989908)"
"[{1, 11}]","[]",2,501,"(375,1317);(1969,3424);(5280,5955);(7093,7864);(9797,10919);(11531,12296);(12549,15059);(15097,15736);(16876,18570);(18712,21688);(22127,22627);(22963,23602);(24308,25192);(25558,26717);(27141,28192);(28233,29430);(29756,30878);(32531,34308);(35355,37895);(38988,40635);(41605,43549);(43867,44434);(44886,46015);(46065,46847);(46964,47509);(47857,50029);(50227,51582);(52805,54448);(54802,55737);(55795,56320);(56869,57631);(57681,58184);(59940,60871);(61354,64868);(64945,65885);(65990,67447);(68926,70674);(71377,72720);(74031,75585);(75932,77670);(78702,80004);(80201,81654);(81815,82420);(82738,83598);(85599,86100);(88367,88867);(89124,94199);(95387,96295);(97049,98163);(99726,101432);(102279,102932);(103923,105332);(105749,106561);(107467,108951);(109939,110481);(110724,111385);(112062,115033);(115949,118504);(118657,119410);(119695,120196);(122247,123632);(124594,126460);(126508,127088);(127174,128029);(128320,128919);(128989,129587);(130611,131320);(133023,134438);(135003,136334);(137913,139345);(140286,143923);(144060,145327);(145573,146992);(147196,148741);(149482,150017);(151060,152130);(152461,153332);(153878,154850);(155640,156369);(156425,157608);(159107,159801);(159852,161530);(163077,163580);(163970,165562);(165664,166567);(168197,169214);(169863,172816);(172998,174030);(174794,175454);(176609,178915);(178992,179773);(180161,181688);(181790,182603);(182994,183945);(184312,186149);(186889,190433);(190650,191484);(192881,193588);(193740,194248);(196411,197429);(197480,198733);(198953,199881);(200954,201936);(202736,204501);(204708,206543);(207675,208590);(209090,209598);(211060,214386);(214879,216203);(216953,217827);(218012,219426);(219582,220358);(220429,223013);(223525,227300);(227680,228182);(228884,229765);(230195,230984);(233128,233628);(236042,238168);(238357,240032);(240177,241014);(241067,242228);(242949,243545);(244005,244879);(245211,245720);(245929,246608);(248137,248917);(251046,252000);(252235,253409);(253926,255437);(256014,257183);(258198,259782);(260051,260994);(261506,265430);(266299,268058);(268274,269051);(269776,270775);(273174,274156);(274282,274857);(275043,275761);(277082,277653);(278116,278663);(279636,280147);(281175,282296);(282370,282870);(283397,285010);(285452,285979);(286531,291411);(291781,292281);(293688,296179);(296515,297265);(297625,298585);(298743,300383);(300886,301612);(301780,302412);(302627,303828);(303898,305305);(305508,306457);(306768,307373);(307779,308511);(308823,309833);(310034,311492);(311585,313860);(314600,315122);(315479,317982);(318028,319601);(319971,323411);(325356,326444);(326665,328603);(328927,329959);(331120,331695);(331835,332540);(332733,334677);(335694,336739);(337078,339384);(341149,341715);(342644,343150);(344364,345688);(346041,347284);(347355,348006);(348648,353781);(354029,356255);(356452,357136);(359157,359924);(359997,360983);(361517,362166);(362511,363726);(364172,365034);(365678,367104);(368782,370302);(370941,373700);(374511,376094);(376614,377565);(378241,381086);(381185,381818);(381889,385007);(386085,388073);(388263,389958);(390046,392118);(392493,393961);(394005,394703);(395402,396327);(396900,398164);(399386,400530);(400928,402401);(403312,404009);(404200,406076);(406499,407401);(409291,411932);(413533,414256);(414413,416371);(416427,417596);(418136,418636);(418680,419649);(420215,424439);(425370,426275);(426696,429377);(429602,430832);(431488,435201);(436063,436579);(436623,437747);(439096,439615);(439948,440467);(441961,442736);(442928,443529);(444245,446913);(447230,447826);(450562,451170);(451362,452010);(454128,455965);(456427,458095);(458200,458700);(458889,460210);(460554,461228);(461417,462757);(463869,465025);(465258,466874);(467083,468328);(469789,470385);(471000,472867);(473723,474528);(475657,476457);(477436,478020);(479110,480600);(480616,482724);(482831,484113);(484193,485032);(485099,486301);(488050,490138);(490332,492761);(494298,496812);(497212,498591);(498763,499461);(499515,501121);(501663,502285);(502843,503828);(504189,504899);(505443,508604);(508809,511800);(512284,514023);(515466,516363);(516546,517349);(517422,521137);(521913,523371);(523673,524580);(525589,526535);(527755,528669);(529182,529690);(530353,531329);(532275,533709);(534118,535080);(535748,536908);(537659,539842);(540386,541278);(541485,542739);(542847,545704);(547403,548243);(548583,550448);(551526,552625);(552968,553950);(553983,555644);(555870,556554);(556986,558083);(558342,559006);(559224,560295);(561656,563761);(563902,565440);(566124,566720);(566995,567664);(568349,569986);(570397,574033);(574550,577071);(578452,579116);(579602,580440);(581489,582051);(582138,582892);(583679,584702);(585037,587115);(587179,588682);(588790,592374);(593739,594425);(595141,595655);(598893,599521);(600944,601794);(604025,604967);(605599,606571);(607998,609455);(609523,610882);(613616,614359);(614486,614987);(617023,617584);(617633,619299);(619438,620365);(620717,621680);(622952,623802);(624436,625056);(625157,626074);(627762,629239);(629683,631048);(631208,632647);(634780,635353);(635620,636594);(636648,637620);(637998,638769);(638844,639428);(639932,643055);(643672,645194);(645241,646210);(646711,647942);(648125,648795);(650054,651199);(654011,655244);(655450,656411);(657527,658280);(658399,659280);(659316,661126);(661315,661904);(663958,664586);(664739,665402);(666264,672070);(673092,673994);(674030,676340);(676478,678182);(678391,680206);(682106,683249);(683305,684234);(684583,686570);(687046,688610);(689841,690641);(690800,691507);(692119,693004);(693133,694836);(695526,696904);(697044,699863);(700031,700594);(700658,703199);(705071,705990);(706285,706905);(708237,710697);(711151,712067);(712319,713093);(713696,714405);(715177,715813);(716269,718670);(719522,720232);(720653,721520);(722300,722881);(723036,723823);(723978,726656);(727296,727799);(729126,729969);(731024,731553);(731712,732212);(732403,733829);(734438,735378);(735592,736950);(737046,737849);(737950,738803);(739398,740423);(740717,742099);(742245,743085);(743902,745639);(747551,748449);(748535,749569);(750514,752177);(752967,754813);(755073,755929);(756166,759309);(759662,760254);(761385,762966);(763731,764826);(765194,767899);(770371,771414);(772189,774327);(774551,775340);(775612,776620);(776719,777219);(777742,778593);(779994,780640);(780974,782237);(782531,783313);(783579,784319);(785207,786994);(788119,790480);(791654,792155);(792360,793189);(794384,795920);(797172,797901);(798110,798947);(799563,801000);(801586,802586);(803887,807218);(807458,808723);(810109,811115);(811304,812006);(813049,813645);(815486,818394);(818772,820461);(820476,821449);(821874,822728);(823459,824906);(825666,826281);(826487,828534);(830099,831330);(831608,832963);(833064,834170);(834196,835196);(835312,836335);(836479,837319);(839969,840554);(841066,842243);(842604,843580);(843929,845215);(845231,846207);(847340,848254);(848487,851288);(851754,852657);(852769,853285);(853355,855337);(857369,858908);(859381,861353);(861583,862083);(862567,863684);(865800,867080);(867276,867975);(868135,869099);(871343,875212);(875244,878364);(879035,879995);(880287,880789);(881231,881797);(882218,883375);(886852,887602);(889553,890290);(890980,893952);(894029,894811);(895213,895855);(896063,897380);(898348,899489);(901014,902194);(902497,903817);(904307,905540);(906178,906853);(907416,909578);(910154,910680);(910832,911716);(913024,916302);(917566,918066);(918555,921074);(921614,923295);(924785,931257);(932458,933038);(933094,933951);(933981,934953);(935703,937271);(937502,938938);(939659,940743);(940833,941674);(942454,943217);(943707,945287);(945514,950172);(951030,952406);(952466,953579);(953797,955803);(956771,957969);(959552,961907);(962302,963004);(963449,965038);(965187,966366);(967650,969898);(970861,971662);(972019,973000);(973890,974957);(977154,978217);(979788,981398);(981941,983021);(983650,984573);(985021,985852);(986589,987191);(988409,989271);(989394,989948)"
"[{3, 6}]","[]",2,1,"(11,989668)"
