pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{349, 1142, 2363}]","[]",3,1,"(501992,502536)"
"[{225, 1215}]","[]",2,35,"(92237,92753);(136921,137430);(156662,157310);(166760,167264);(166805,167578);(182500,183002);(182574,183873);(192863,193475);(200267,200775);(200421,200946);(203163,203667);(203223,203723);(205617,206165);(209829,210436);(218130,218838);(226601,227193);(232619,233202);(254751,255300);(255027,255734);(265959,266459);(270072,270696);(270371,270947);(271725,272303);(275747,276256);(282278,282855);(282524,283024);(282673,283173);(306653,307158);(306836,307539);(327409,327923);(378835,379387);(441379,441881);(446828,447328);(447150,447651);(449863,450636)"
"[{225, 1336}]","[]",2,4,"(180130,180880);(236297,236798);(308568,309086);(512170,512673)"
"[{349, 1142}]","[]",2,1,"(501992,502536)"
"[{349, 2363}]","[]",2,1,"(501992,502536)"
"[{1142, 2363}]","[]",2,1,"(501992,502536)"
"[{1394, 1989}]","[]",2,6,"(70698,71263);(110964,111638);(131225,131731);(162934,163530);(174607,175196);(284823,285325)"
"[{1534, 1582}]","[]",2,1,"(126880,127453)"
"[{1534, 1943}]","[]",2,55,"(224218,224759);(224293,224817);(229355,229952);(229500,230013);(229615,230115);(232593,233120);(252755,253255);(252827,253546);(262259,262789);(262388,262897);(262406,262906);(265152,265708);(265631,266132);(268600,269248);(282201,282702);(292015,292515);(302811,303325);(311041,311567);(323222,323949);(324395,324927);(324601,325101);(333368,333922);(334909,335431);(335070,335571);(343918,344469);(343990,344490);(344078,344614);(344978,345501);(345048,345557);(362731,363261);(379843,380344);(381248,382038);(384335,384927);(384533,385033);(386952,387452);(387682,388192);(396607,397307);(421909,422424);(421976,422682);(425255,425798);(425373,425873);(425377,425880);(425434,426036);(425565,426078);(425599,426120);(438997,439510);(439045,439562);(439205,439751);(454053,454562);(459467,460421);(461341,461942);(475113,475647);(505094,505675);(522316,522900);(522509,523009)"
"[{1816, 1834}]","[]",2,2,"(69197,69971);(85130,85752)"
