pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{349, 1142, 2363}]","[]",3,1,"(501992,502516)"
"[{225, 1215}]","[]",2,23,"(136921,137430);(156663,157310);(166760,167578);(182500,183873);(192863,193420);(200267,200946);(203163,203723);(205617,206165);(209708,210318);(218130,218838);(226601,227103);(232619,233202);(254792,255621);(265959,266459);(270072,270901);(271725,272303);(275747,276256);(282524,283173);(306653,307478);(378835,379387);(441379,441881);(446828,447650);(449863,450636)"
"[{225, 1336}]","[]",2,3,"(180130,180796);(236297,236798);(512170,512673)"
"[{349, 1142}]","[]",2,1,"(501992,502516)"
"[{349, 2363}]","[]",2,1,"(501992,502516)"
"[{1142, 2363}]","[]",2,1,"(501992,502516)"
"[{1394, 1989}]","[]",2,6,"(70698,71263);(110964,111638);(131225,131731);(162934,163452);(174607,175111);(284823,285323)"
"[{1534, 1582}]","[]",2,1,"(126880,127423)"
"[{1534, 1943}]","[]",2,34,"(224218,224817);(229355,230115);(232593,233120);(252755,253546);(262259,262906);(265152,266132);(268600,269249);(282201,282702);(292015,292515);(302811,303325);(311041,311567);(323222,323949);(324395,325101);(333368,333922);(334909,335571);(343918,344614);(344852,345557);(362731,363261);(379843,380344);(381248,382038);(384335,385033);(386952,387452);(387682,388192);(396607,397307);(421909,422682);(425255,426120);(438997,439751);(454053,454562);(459467,460421);(461232,462105);(475113,475647);(505094,505675);(522316,523009);(525468,525989)"
"[{1816, 1834}]","[]",2,2,"(69197,69971);(85130,85752)"
