pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{40, 42, 49, 13042}]","[]",4,2,"(73322,74057);(73687,74834)"
"[{40, 42, 49, 15833}]","[]",4,1,"(76995,78370)"
"[{40, 42, 49, 16011}]","[]",4,1,"(80407,82211)"
"[{40, 42, 49, 16218}]","[]",4,3,"(84231,84731);(84294,85743);(85304,85804)"
"[{40, 42, 16011, 16012}]","[]",4,4,"(80545,81065);(80632,81202);(80843,81343);(81276,81974)"
"[{40, 42, 16431, 16432}]","[]",4,1,"(87458,88150)"
"[{40, 49, 16011, 16012}]","[]",4,2,"(79959,82001);(81547,82049)"
"[{40, 49, 16431, 16432}]","[]",4,1,"(87453,88150)"
"[{42, 49, 16431, 16432}]","[]",4,1,"(87458,88013)"
"[{33, 40, 42}]","[]",3,3,"(17258,17761);(17366,17866);(17420,17968)"
"[{33, 40, 49}]","[]",3,22,"(5940,6444);(5953,6453);(5970,6498);(6033,6533);(6082,6600);(6166,6970);(9697,10197);(9726,10255);(9882,10397);(17259,18079);(20930,21430);(20984,21528);(21102,21621);(21141,21641);(24175,24975);(58517,59018);(59308,59809);(74057,74626);(74204,74708);(77837,78494);(80703,81218);(80845,81640)"
"[{33, 40, 15833}]","[]",3,2,"(77272,77791);(77351,77872)"
"[{33, 40, 16011}]","[]",3,2,"(80710,81398);(80959,81459)"
"[{33, 49, 16011}]","[]",3,5,"(80714,81218);(80766,81268);(80806,81306);(80851,81423);(80958,81459)"
"[{33, 16431, 16432}]","[]",3,1,"(87455,88144)"
"[{39, 40, 42}]","[]",3,3,"(13337,13837);(13405,13984);(74033,74569)"
"[{39, 40, 49}]","[]",3,38,"(13487,13990);(18169,18777);(18315,18843);(21787,22295);(24114,24627);(25454,25955);(25495,26180);(27726,28229);(28467,29273);(32310,32842);(33186,33873);(33418,33919);(33446,33946);(33478,34007);(36086,37005);(38780,39318);(38862,39363);(39773,40356);(39979,40479);(40033,40610);(40864,41433);(43878,44401);(48313,48819);(56237,56870);(56393,56893);(59344,59886);(63125,63625);(63182,63732);(64022,64615);(64192,64850);(66084,66585);(66110,66617);(67613,68507);(70776,71336);(71586,72297);(74073,74616);(74982,75529);(85952,86726)"
"[{40, 42, 49}]","[]",3,59,"(12,872);(479,1001);(636,1197);(736,1299);(836,1665);(1197,1697);(1360,1862);(1719,3974);(3903,4443);(4276,4891);(4420,4953);(4516,5083);(4626,5128);(4683,5191);(4707,5250);(4920,7367);(6906,7422);(7093,7817);(7366,7902);(7457,7991);(8410,8915);(8464,9096);(8679,11402);(10928,14630);(14688,15199);(14718,15218);(14804,15304);(14870,15385);(14917,16312);(15914,16552);(16090,16594);(16157,18777);(18721,22434);(21977,22477);(21999,22499);(22105,26484);(26449,26949);(26587,29425);(29011,29511);(29026,29526);(29113,29621);(29273,30410);(29939,30730);(30257,30757);(30268,30768);(30280,30794);(30324,30824);(30353,33147);(32741,37137);(36683,37183);(36730,37239);(36777,37867);(72770,76243);(75776,76276);(75801,79551);(79111,83048);(82856,83843);(83637,84139);(83662,88155)"
"[{40, 42, 8979}]","[]",3,1,"(13363,13927)"
"[{40, 42, 13042}]","[]",3,1,"(72767,74951)"
"[{40, 42, 15833}]","[]",3,1,"(76444,78370)"
"[{40, 42, 16011}]","[]",3,1,"(79947,82306)"
"[{40, 42, 16012}]","[]",3,4,"(80545,81065);(80632,81240);(80843,81343);(81276,82049)"
"[{40, 42, 16218}]","[]",3,1,"(83769,86020)"
"[{40, 42, 16431}]","[]",3,1,"(87451,88150)"
