pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{349, 1142, 2363}]","[]",3,2,"(25133,25669);(501992,502546)"
"[{200, 2352}]","[]",2,1,"(372123,372699)"
"[{225, 1215}]","[]",2,98,"(92122,92833);(92122,92833);(136852,137431);(156617,157385);(166760,167661);(182498,183887);(192836,193481);(194819,195321);(194828,195329);(194819,195321);(194828,195329);(200172,200783);(200372,201063);(200372,201063);(200372,201063);(203082,203714);(203218,203740);(203262,203847);(203082,203714);(203218,203740);(203262,203847);(203082,203714);(203218,203740);(203262,203847);(203262,203847);(205594,206203);(209564,210078);(209583,210460);(217956,218851);(226527,227031);(226591,227280);(226527,227031);(226591,227280);(232547,233234);(237671,238182);(237706,238241);(237671,238182);(237706,238241);(241944,242457);(254734,255305);(254962,255468);(254996,255800);(254962,255468);(254996,255810);(254996,255810);(265892,266760);(269995,270949);(271657,272457);(271988,272548);(275581,276163);(275724,276257);(275724,276257);(275724,276257);(282267,282954);(282462,282997);(282516,283025);(282668,283177);(282668,283177);(282668,283177);(299571,300101);(306604,307108);(306646,307202);(306739,307252);(306779,307590);(306646,307202);(306739,307252);(306779,307590);(306739,307252);(306779,307590);(306779,307590);(310416,310925);(321629,322152);(327217,327739);(327396,327960);(327396,327960);(327396,327960);(329882,330414);(329882,330414);(351544,352126);(378537,379049);(378602,379158);(378660,379215);(378722,379286);(378800,379394);(378905,379470);(398783,399292);(441379,441881);(444215,444734);(446828,447328);(446943,447483);(447147,447653);(446943,447483);(447147,447653);(446943,447483);(447147,447653);(447147,447653);(449808,450770);(449808,450770)"
"[{225, 1336}]","[]",2,15,"(180111,180932);(212601,213177);(236297,236798);(236428,236970);(236297,236798);(236428,236970);(236297,236798);(236428,236970);(268488,269019);(268488,269019);(308544,309111);(308544,309111);(512170,512690);(512233,512751);(512233,512751)"
"[{349, 1142}]","[]",2,2,"(25133,25669);(501992,502546)"
"[{349, 2363}]","[]",2,2,"(25133,25669);(501992,502546)"
"[{1142, 2363}]","[]",2,2,"(25133,25669);(501992,502546)"
"[{1394, 1989}]","[]",2,12,"(48784,49366);(70689,71309);(79646,80220);(110950,111758);(131217,131822);(131357,132011);(142610,143288);(162905,163535);(174531,175202);(284812,285405);(518685,519358);(518685,519358)"
"[{1534, 1582}]","[]",2,3,"(126822,127458);(126822,127458);(126822,127458)"
"[{1534, 1943}]","[]",2,203,"(224217,224772);(224287,224822);(226944,227469);(226944,227469);(226944,227469);(226944,227469);(229325,229855);(229325,229855);(229325,229978);(229500,230044);(229615,230115);(229628,230137);(232533,233034);(232592,233180);(232533,233034);(232592,233180);(252738,253567);(262256,262888);(262256,262900);(262406,262906);(265145,265734);(265145,265734);(265251,265764);(265519,266035);(265578,266103);(265631,266140);(265643,266145);(268442,268947);(268442,268947);(268537,269155);(268442,268947);(268537,269248);(268442,268947);(268537,269301);(280317,280828);(282195,282702);(282281,282794);(285556,286062);(292015,292515);(292035,292549);(292015,292515);(292035,292549);(292015,292515);(292035,292549);(294350,294852);(302800,303328);(306482,306986);(310169,310674);(311022,311574);(311022,311574);(311022,311574);(320356,320862);(323217,323985);(323217,323985);(324395,324928);(324395,324991);(324395,324991);(324395,325026);(324528,325042);(324601,325101);(324620,325136);(333287,333796);(333317,333956);(333525,334033);(333287,333796);(333317,333956);(333525,334033);(334892,335467);(335030,335556);(335070,335571);(335074,335591);(334892,335467);(335030,335556);(335070,335571);(335074,335591);(334892,335467);(335030,335556);(335070,335571);(335074,335591);(334892,335467);(335030,335556);(335070,335571);(335074,335591);(343898,344478);(343982,344495);(344003,344614);(343898,344478);(343982,344495);(344003,344614);(343898,344478);(343982,344495);(344003,344614);(344733,345239);(344741,345352);(344733,345239);(344741,345509);(345043,345557);(345086,345590);(344733,345239);(344741,345509);(345043,345557);(345086,345590);(357089,357600);(362713,363261);(362713,363264);(362713,363264);(362713,363264);(362713,363264);(362889,363398);(366627,367128);(379803,380324);(379843,380344);(379860,380361);(381230,382062);(381573,382079);(384206,384735);(384206,384735);(384265,384928);(384450,385025);(384533,385033);(386946,387447);(386952,387452);(387664,388246);(387764,388357);(396598,397100);(396602,397328);(396836,397338);(396849,397373);(411282,411787);(411951,412466);(411951,412466);(411951,412466);(421901,422417);(421901,422436);(421901,422684);(425176,425827);(425373,425873);(425375,425881);(425387,426037);(425550,426092);(425597,426126);(425641,426151);(438914,439423);(438973,439522);(439041,439705);(438914,439423);(438973,439522);(439041,439807);(454009,454553);(454009,454608);(454009,454608);(459444,460434);(459938,460444);(461200,461706);(461208,461732);(461200,461706);(461208,461949);(461200,461706);(461208,462079);(461200,461706);(461208,462125);(475057,475561);(475099,475720);(475254,475756);(475057,475561);(475099,475720);(475254,475756);(475057,475561);(475099,475720);(475254,475756);(475057,475561);(475099,475720);(475254,475756);(475057,475561);(475099,475720);(475254,475756);(482067,482597);(496152,496662);(496152,496662);(496152,496662);(496152,496662);(496152,496662);(505065,505705);(505065,505705);(522141,522645);(522254,522902);(522141,522645);(522254,522988);(522493,523007);(522509,523009);(522141,522645);(522254,522988);(522493,523007);(522509,523009);(525435,525968);(525435,525999);(525435,525999);(525435,525999);(525435,525999);(525435,525999);(525435,525999);(525435,525999);(525435,525999)"
"[{1816, 1834}]","[]",2,9,"(56548,57058);(56585,57091);(56627,57161);(56664,57167);(69187,69979);(69187,69979);(69187,69979);(85043,85791);(175950,176459)"
