pattern_components,pattern_gaps,pattern_size,intervals_count,intervals
"[{40, 42, 49, 13042}]","[]",4,6,"(73314,74063);(73574,74075);(73578,74080);(73586,74107);(73676,74848);(74385,74893)"
"[{40, 42, 49, 15833}]","[]",4,1,"(76981,78528)"
"[{40, 42, 49, 16011}]","[]",4,1,"(80394,82227)"
"[{40, 42, 49, 16218}]","[]",4,3,"(84218,84749);(84261,85800);(85304,85804)"
"[{40, 42, 16011, 16012}]","[]",4,9,"(80484,81000);(80508,81108);(80615,81228);(80731,81234);(80740,81244);(80843,81343);(81266,81998);(81501,82005);(81509,82010)"
"[{40, 42, 16431, 16432}]","[]",4,1,"(87399,88170)"
"[{40, 49, 16011, 16012}]","[]",4,2,"(79745,82024);(81535,82058)"
"[{40, 49, 16431, 16432}]","[]",4,1,"(87230,88283)"
"[{42, 49, 16431, 16432}]","[]",4,1,"(87391,88040)"
"[{33, 40, 42}]","[]",3,7,"(9816,10326);(17239,17762);(17302,17808);(17349,17860);(17366,17866);(17384,17889);(17415,17996)"
"[{33, 40, 49}]","[]",3,45,"(5928,6449);(5952,6455);(5965,6510);(6023,6531);(6033,6533);(6080,6651);(6166,6978);(9646,10154);(9695,10202);(9713,10275);(9796,10316);(9865,10409);(17169,17683);(17194,17695);(17213,18104);(20882,21383);(20885,21402);(20930,21430);(20940,21453);(20971,21535);(21042,21560);(21064,21580);(21082,21634);(21141,21641);(24062,24564);(24069,24595);(24155,24661);(24174,24991);(24494,25014);(58510,59019);(58531,59048);(59237,59740);(59273,59785);(59301,59816);(59465,59966);(73968,74471);(74026,74687);(74190,74729);(77761,78267);(77785,78291);(77801,78548);(80702,81230);(80764,81265);(80817,81648);(81164,81669)"
"[{33, 40, 15833}]","[]",3,4,"(77181,77684);(77203,77704);(77266,77813);(77338,77887)"
"[{33, 40, 16011}]","[]",3,5,"(80623,81131);(80649,81162);(80672,81188);(80691,81447);(80950,81461)"
"[{33, 49, 13042}]","[]",3,1,"(73486,73996)"
"[{33, 49, 16011}]","[]",3,6,"(79861,80459);(80704,81243);(80762,81295);(80797,81312);(80817,81426);(80950,81475)"
"[{33, 16431, 16432}]","[]",3,1,"(87371,88216)"
"[{39, 40, 42}]","[]",3,8,"(13307,13819);(13322,13835);(13337,13837);(13396,13995);(27654,28161);(27692,28240);(74005,74513);(74022,74591)"
"[{39, 40, 49}]","[]",3,75,"(13404,13905);(13424,13940);(13481,13993);(18147,18780);(18303,18853);(18355,18860);(21754,22310);(24097,24638);(24174,24682);(25136,25644);(25148,25656);(25453,25966);(25471,25978);(25486,26222);(25768,26278);(25782,26295);(25799,26301);(27645,28253);(28458,29283);(28785,29286);(32220,32863);(33148,33878);(33381,33902);(33406,33907);(33411,33922);(33424,33930);(33435,33936);(33438,33940);(33445,33949);(33464,34018);(33543,34048);(36049,37019);(36529,37047);(38600,39109);(38688,39196);(38761,39337);(38843,39384);(39728,40371);(39979,40479);(39992,40504);(40006,40638);(40177,40687);(40817,41487);(43842,44411);(48291,48838);(55481,56020);(56145,56648);(56153,56874);(56376,56883);(56390,56899);(56401,56918);(59299,59897);(63125,63625);(63145,63738);(63977,64484);(63989,64661);(64178,64859);(64382,64888);(64668,65178);(65847,66349);(65855,66361);(66057,66574);(66082,66586);(66090,66657);(67598,68521);(70627,71128);(70748,71340);(70856,71364);(71572,72302);(74050,74620);(74939,75452);(74976,75532);(75038,75547);(75145,75651);(85879,86734)"
"[{40, 42, 49}]","[]",3,102,"(-75,876);(386,887);(475,1012);(542,1043);(594,1095);(597,1098);(600,1101);(618,1219);(728,1320);(824,1677);(1197,1697);(1219,1728);(1354,1878);(1381,1893);(1713,3993);(3498,3999);(3893,4457);(4135,4644);(4150,4652);(4258,4761);(4263,4895);(4399,4973);(4488,5087);(4617,5131);(4668,5172);(4680,5195);(4703,5255);(4826,5336);(4894,5399);(4905,7389);(6898,7434);(7017,7518);(7047,7561);(7074,7824);(7337,7841);(7353,7918);(7421,7922);(7429,8047);(7552,8070);(8393,8923);(8445,9142);(8650,11410);(10922,14643);(14669,15170);(14681,15207);(14718,15218);(14804,15304);(14852,15358);(14863,15399);(14908,16331);(15870,16371);(15876,16378);(15892,16571);(16073,16577);(16084,16607);(16116,16622);(16126,16628);(16147,18780);(18287,18788);(18718,22472);(21976,22483);(21999,22499);(22066,22567);(22070,26487);(26097,26598);(26371,26886);(26394,26914);(26428,26930);(26449,26949);(26452,26995);(26522,27033);(26544,27059);(26586,29470);(28981,29484);(28987,29517);(29026,29526);(29099,29629);(29267,30429);(29935,30739);(30255,30763);(30268,30768);(30278,30818);(30320,30835);(30339,33160);(32672,33176);(32733,37155);(36667,37194);(36697,37217);(36726,37245);(36752,37264);(36773,38029);(72601,76255);(75758,76265);(75776,76276);(75787,79562);(79085,83058);(82708,83210);(82749,83253);(82846,83846);(83349,83851);(83633,84147);(83649,88179)"
"[{40, 42, 8979}]","[]",3,3,"(13333,13835);(13337,13967);(81438,81950)"
"[{40, 42, 13042}]","[]",3,1,"(72668,75046)"
"[{40, 42, 15833}]","[]",3,1,"(76304,78633)"
"[{40, 42, 16011}]","[]",3,1,"(79842,82392)"
"[{40, 42, 16012}]","[]",3,6,"(80484,81000);(80508,81108);(80615,81251);(80836,81346);(81248,82063);(81573,82078)"
"[{40, 42, 16218}]","[]",3,1,"(83674,86088)"
"[{40, 42, 16431}]","[]",3,1,"(87353,88202)"
"[{40, 42, 16432}]","[]",3,1,"(87399,88174)"
"[{40, 49, 8979}]","[]",3,2,"(13229,13743);(13258,14192)"
"[{40, 49, 13042}]","[]",3,1,"(72466,75108)"
"[{40, 49, 15833}]","[]",3,1,"(76126,78682)"
"[{40, 49, 16011}]","[]",3,1,"(79619,82500)"
