experiment,model,lambda_baskets,method,seed,multi_count,time_ms,gt_spr,observed_spurious
A1-P,poisson,1.0,phase1,0,1.0,68.71,0.479779,
A1-P,poisson,1.0,traditional,0,2.0,76.94,0.479779,1.0
A1-P,poisson,1.0,phase1,1,1.0,70.27,0.44246,
A1-P,poisson,1.0,traditional,1,2.0,86.04,0.44246,1.0
A1-P,poisson,1.0,phase1,2,1.0,70.5,0.455645,
A1-P,poisson,1.0,traditional,2,2.0,81.42,0.455645,1.0
A1-P,poisson,1.0,phase1,3,1.0,68.96,0.441057,
A1-P,poisson,1.0,traditional,3,2.0,81.75,0.441057,1.0
A1-P,poisson,1.0,phase1,4,1.0,68.07,0.451866,
A1-P,poisson,1.0,traditional,4,2.0,77.76,0.451866,1.0
A1-P,poisson,1.5,phase1,0,2.0,84.56,0.658667,
A1-P,poisson,1.5,traditional,0,4.0,99.38,0.658667,2.0
A1-P,poisson,1.5,phase1,1,2.0,83.12,0.679733,
A1-P,poisson,1.5,traditional,1,7.0,97.04,0.679733,5.0
A1-P,poisson,1.5,phase1,2,2.0,85.31,0.675747,
A1-P,poisson,1.5,traditional,2,4.0,101.68,0.675747,2.0
A1-P,poisson,1.5,phase1,3,1.0,81.81,0.681401,
A1-P,poisson,1.5,traditional,3,6.0,96.3,0.681401,5.0
A1-P,poisson,1.5,phase1,4,2.0,83.12,0.686144,
A1-P,poisson,1.5,traditional,4,7.0,117.0,0.686144,5.0
A1-P,poisson,2.0,phase1,0,2.0,135.61,0.788584,
A1-P,poisson,2.0,traditional,0,11.0,154.22,0.788584,9.0
A1-P,poisson,2.0,phase1,1,7.0,140.74,0.79295,
A1-P,poisson,2.0,traditional,1,15.0,155.12,0.79295,9.0
A1-P,poisson,2.0,phase1,2,3.0,141.93,0.789249,
A1-P,poisson,2.0,traditional,2,15.0,168.57,0.789249,12.0
A1-P,poisson,2.0,phase1,3,3.0,152.71,0.794945,
A1-P,poisson,2.0,traditional,3,14.0,171.46,0.794945,11.0
A1-P,poisson,2.0,phase1,4,5.0,141.17,0.804506,
A1-P,poisson,2.0,traditional,4,15.0,173.0,0.804506,10.0
A1-P,poisson,3.0,phase1,0,14.0,229.32,0.904744,
A1-P,poisson,3.0,traditional,0,64.0,378.49,0.904744,50.0
A1-P,poisson,3.0,phase1,1,14.0,245.18,0.906087,
A1-P,poisson,3.0,traditional,1,61.0,375.51,0.906087,47.0
A1-P,poisson,3.0,phase1,2,15.0,245.43,0.904394,
A1-P,poisson,3.0,traditional,2,68.0,375.09,0.904394,53.0
A1-P,poisson,3.0,phase1,3,16.0,270.0,0.907,
A1-P,poisson,3.0,traditional,3,67.0,389.94,0.907,51.0
A1-P,poisson,3.0,phase1,4,15.0,240.16,0.906676,
A1-P,poisson,3.0,traditional,4,66.0,408.79,0.906676,51.0
A1-P,poisson,5.0,phase1,0,34.0,706.88,0.970157,
A1-P,poisson,5.0,traditional,0,414.0,2108.35,0.970157,380.0
A1-P,poisson,5.0,phase1,1,33.0,681.92,0.970038,
A1-P,poisson,5.0,traditional,1,396.0,1993.99,0.970038,363.0
A1-P,poisson,5.0,phase1,2,35.0,680.51,0.971133,
A1-P,poisson,5.0,traditional,2,428.0,2095.32,0.971133,393.0
A1-P,poisson,5.0,phase1,3,32.0,632.8,0.970839,
A1-P,poisson,5.0,traditional,3,413.0,2098.84,0.970839,381.0
A1-P,poisson,5.0,phase1,4,34.0,667.05,0.970921,
A1-P,poisson,5.0,traditional,4,412.0,2096.02,0.970921,378.0
