experiment,model,method,lambda_baskets,n_seed,multi_mean,multi_std,time_mean_ms,time_std_ms,gt_spr_mean,gt_spr_std,observed_spurious_mean,observed_spurious_std
A1-P,poisson,phase1,1.0,5,1.0,0.0,69.30199999999999,1.0437288920021355,0.4541614,0.015591499456434593,,
A1-P,poisson,traditional,1.0,5,2.0,0.0,80.78200000000001,3.636072056491732,0.4541614,0.015591499456434593,1.0,0.0
A1-P,poisson,phase1,1.5,5,1.8,0.4472135954999579,83.584,1.37015692531914,0.6763384,0.010558540988223704,,
A1-P,poisson,traditional,1.5,5,5.6,1.51657508881031,102.28,8.495092701083372,0.6763384,0.010558540988223704,3.8,1.6431676725154984
A1-P,poisson,phase1,2.0,5,4.0,2.0,142.43200000000002,6.262676744012898,0.7940468,0.006408308411741779,,
A1-P,poisson,traditional,2.0,5,14.0,1.7320508075688772,164.474,9.095547262259704,0.7940468,0.006408308411741779,10.2,1.3038404810405297
A1-P,poisson,phase1,3.0,5,14.8,0.8366600265340756,246.01799999999997,14.91076523857847,0.9057802,0.0011597151374367813,,
A1-P,poisson,traditional,3.0,5,65.2,2.7748873851023217,385.56399999999996,14.312804756580745,0.9057802,0.0011597151374367813,50.4,2.1908902300206643
A1-P,poisson,phase1,5.0,5,33.6,1.140175425099138,673.832,27.073059856617625,0.9706176,0.00048856811193529,,
A1-P,poisson,traditional,5.0,5,412.6,11.349008767288884,2078.504,47.53036113896044,0.9706176,0.00048856811193529,379.0,10.700467279516348
