experiment,model,lambda_baskets,seed,gt_spr,gt_n_txn_frequent,gt_n_spurious,phase1_multi,traditional_multi,observed_spurious,phase1_core_ms,trad_flatten_ms,trad_core_ms,trad_total_ms
A1-P,poisson,1.0,0,0.479779,544,261,1,2,1,68.71,8.02,68.92,76.94
A1-P,poisson,1.0,1,0.44246,504,223,1,2,1,70.27,14.85,71.19,86.04
A1-P,poisson,1.0,2,0.455645,496,226,1,2,1,70.5,9.12,72.29,81.42
A1-P,poisson,1.0,3,0.441057,492,217,1,2,1,68.96,9.56,72.19,81.75
A1-P,poisson,1.0,4,0.451866,509,230,1,2,1,68.07,8.51,69.25,77.76
A1-P,poisson,1.5,0,0.658667,1125,741,2,4,2,84.56,14.32,85.06,99.38
A1-P,poisson,1.5,1,0.679733,1199,815,2,7,5,83.12,9.58,87.46,97.04
A1-P,poisson,1.5,2,0.675747,1138,769,2,4,2,85.31,15.06,86.62,101.68
A1-P,poisson,1.5,3,0.681401,1199,817,1,6,5,81.81,10.15,86.15,96.3
A1-P,poisson,1.5,4,0.686144,1198,822,2,7,5,83.12,9.64,107.36,117.0
A1-P,poisson,2.0,0,0.788584,2365,1865,2,11,9,135.61,10.6,143.62,154.22
A1-P,poisson,2.0,1,0.79295,2468,1957,7,15,9,140.74,11.39,143.73,155.12
A1-P,poisson,2.0,2,0.789249,2344,1850,3,15,12,141.93,16.49,152.08,168.57
A1-P,poisson,2.0,3,0.794945,2453,1950,3,14,11,152.71,10.97,160.49,171.46
A1-P,poisson,2.0,4,0.804506,2619,2107,5,15,10,141.17,16.36,156.64,173.0
A1-P,poisson,3.0,0,0.904744,8094,7323,14,64,50,229.32,19.97,358.52,378.49
A1-P,poisson,3.0,1,0.906087,8412,7622,14,61,47,245.18,20.86,354.65,375.51
A1-P,poisson,3.0,2,0.904394,8420,7615,15,68,53,245.43,15.01,360.08,375.09
A1-P,poisson,3.0,3,0.907,8871,8046,16,67,51,270.0,20.42,369.53,389.94
A1-P,poisson,3.0,4,0.906676,8433,7646,15,66,51,240.16,14.66,394.14,408.79
A1-P,poisson,5.0,0,0.970157,48621,47170,34,414,380,706.88,20.94,2087.41,2108.35
A1-P,poisson,5.0,1,0.970038,47627,46200,33,396,363,681.92,20.94,1973.05,1993.99
A1-P,poisson,5.0,2,0.971133,48013,46627,35,428,393,680.51,20.27,2075.05,2095.32
A1-P,poisson,5.0,3,0.970839,48798,47375,32,413,381,632.8,19.69,2079.15,2098.84
A1-P,poisson,5.0,4,0.970921,48454,47045,34,412,378,667.05,20.23,2075.79,2096.02
